# Imaginary frequencies extracted from TS Gaussian log files
# Transition structure were taken from the Grambow dataset: https://www.nature.com/articles/s41597-020-0460-4
# The rxn_id corresponds to the original dataset identifier used in the Grambow study.
# ts_id  frequency (cm^-1)  rxn_id
ts_233  -557.8375  rxn002076
ts_234  -656.3050  rxn002082
ts_235  -505.7688  rxn002086
ts_236  -416.2892  rxn002087
ts_237  -571.9921  rxn002091
ts_238  -897.5727  rxn002109
ts_239  -492.1802  rxn002110
ts_240  -1563.3502  rxn002118
ts_241  -1188.2661  rxn002134
ts_242  -850.9384  rxn002151
ts_243  -1490.0516  rxn002167
ts_244  -1118.9938  rxn002191
ts_245  -551.0441  rxn002192
ts_246  -2049.8477  rxn002199
ts_247  -1737.2991  rxn002205
ts_248  -1074.4330  rxn002209
ts_249  -817.4150  rxn002212
ts_250  -513.4292  rxn002222
ts_251  -1279.6694  rxn002227
ts_252  -429.7943  rxn002250
ts_253  -1481.2251  rxn002254
ts_254  -568.4450  rxn002256
ts_255  -464.9497  rxn002258
ts_256  -1667.9816  rxn002268
ts_257  -175.3368  rxn002286
ts_258  -2013.3586  rxn002299
ts_259  -1951.7685  rxn002315
ts_260  -785.3865  rxn002347
ts_261  -646.3570  rxn002348
ts_262  -613.9717  rxn002351
ts_263  -517.6651  rxn002359
ts_264  -1606.7584  rxn002371
ts_265  -2100.4072  rxn002373
ts_266  -674.2223  rxn002379
ts_267  -776.9182  rxn002384
ts_268  -1510.8304  rxn002397
ts_269  -742.1407  rxn002414
ts_270  -2239.7482  rxn002415
ts_271  -2018.2517  rxn002446
ts_272  -743.7306  rxn002451
ts_273  -847.7869  rxn002454
ts_274  -1216.4062  rxn002455
ts_275  -1112.8138  rxn002478
ts_276  -2019.9991  rxn002480
ts_277  -1141.4809  rxn002505
ts_278  -1562.7508  rxn002508
ts_279  -1389.8685  rxn002512
ts_280  -1492.5128  rxn002521
ts_281  -1841.5436  rxn002535
ts_282  -719.9594  rxn002546
ts_283  -708.5525  rxn002548
ts_284  -1105.6241  rxn002558
ts_285  -1675.9102  rxn002569
ts_286  -595.8742  rxn002571
ts_287  -660.8234  rxn002576
ts_288  -864.7194  rxn002577
ts_289  -752.6568  rxn002584
ts_290  -2354.9368  rxn002590
ts_292  -1291.1941  rxn002631
ts_293  -1060.1268  rxn002637
ts_294  -849.5284  rxn002640
ts_295  -597.4171  rxn002644
ts_296  -443.5080  rxn002659
ts_297  -487.5550  rxn002671
ts_298  -324.0653  rxn002684
ts_299  -1328.1327  rxn002706
ts_300  -1488.9299  rxn002725
ts_301  -1990.3108  rxn002730
ts_302  -1410.1633  rxn002731
ts_303  -1231.9009  rxn002738
ts_304  -2146.5294  rxn002739
ts_305  -990.9594  rxn002741
ts_306  -282.3522  rxn002762
ts_307  -1578.8090  rxn002764
ts_308  -1032.4129  rxn002766
ts_309  -898.1286  rxn002768
ts_310  -1060.9429  rxn002776
ts_311  -1151.8554  rxn002789
ts_312  -2065.9842  rxn002803
ts_313  -429.1667  rxn002822
ts_314  -1981.6893  rxn002827
ts_315  -830.6919  rxn002841
ts_316  -1176.5318  rxn002852
ts_317  -1347.2385  rxn002853
ts_318  -872.5424  rxn002857
ts_319  -461.0133  rxn002870
ts_320  -883.1997  rxn002879
ts_321  -631.8659  rxn002891
ts_322  -2014.0724  rxn002921
ts_323  -634.9250  rxn002929
ts_324  -864.8647  rxn002938
ts_325  -481.5167  rxn002939
ts_326  -1798.6486  rxn002953
ts_327  -2139.8228  rxn002967
ts_328  -1305.9607  rxn002968
ts_329  -949.9030  rxn002972
ts_330  -957.6126  rxn002978
ts_331  -802.2951  rxn002994
ts_332  -1977.3268  rxn002998
ts_333  -1309.9697  rxn003005
ts_334  -2238.1007  rxn003011
ts_335  -1686.5375  rxn003022
ts_336  -1445.6735  rxn003032
ts_337  -396.6559  rxn003035
ts_338  -860.3540  rxn003036
ts_339  -765.4396  rxn003037
ts_340  -446.4681  rxn003051
ts_341  -443.1037  rxn003053
ts_342  -914.8913  rxn003069
ts_343  -353.4620  rxn003070
ts_344  -1348.7499  rxn003073
ts_345  -390.2366  rxn003083
ts_346  -721.6293  rxn003085
ts_347  -749.3556  rxn003086
ts_348  -394.6135  rxn003095
ts_350  -1658.3196  rxn003101
ts_351  -1714.1767  rxn003103
ts_352  -507.9863  rxn003107
ts_353  -1735.2419  rxn003108
ts_354  -945.4910  rxn003109
ts_355  -1439.0245  rxn003114
ts_356  -560.7226  rxn003151
ts_357  -666.7953  rxn003179
ts_358  -652.1085  rxn003203
ts_359  -716.8438  rxn003205
ts_360  -369.3087  rxn003208
ts_361  -647.1901  rxn003239
ts_362  -975.1482  rxn003247
ts_363  -1043.2850  rxn003252
ts_364  -1481.4954  rxn003255
ts_365  -710.6507  rxn003258
ts_366  -817.0207  rxn003259
ts_367  -475.3405  rxn003264
ts_368  -231.8041  rxn003278
ts_369  -1914.8299  rxn003293
ts_370  -1628.9915  rxn003296
ts_371  -460.7803  rxn003309
ts_372  -1028.2730  rxn003313
ts_373  -166.1999  rxn003336
ts_374  -802.2593  rxn003353
ts_375  -684.5887  rxn003356
ts_376  -877.3129  rxn003357
ts_377  -1316.5889  rxn003383
ts_378  -764.7541  rxn003395
ts_379  -1073.4499  rxn003397
ts_380  -616.9064  rxn003398
ts_381  -1189.4612  rxn003400
ts_382  -2004.8467  rxn003408
ts_383  -1338.2455  rxn003412
ts_384  -998.2707  rxn003416
ts_385  -681.2039  rxn003419
ts_386  -2104.8117  rxn003420
ts_387  -1743.0662  rxn003454
ts_388  -460.4077  rxn003455
ts_389  -830.1792  rxn003457
ts_390  -344.8051  rxn003470
ts_391  -2391.8558  rxn003489
ts_392  -408.8389  rxn003496
ts_393  -1059.1997  rxn003512
ts_394  -781.3106  rxn003516
ts_395  -2342.8108  rxn003543
ts_396  -662.6585  rxn003545
ts_397  -662.8000  rxn003548
ts_398  -375.5428  rxn003558
ts_399  -1466.0866  rxn003563
ts_400  -1927.1970  rxn003583
ts_401  -1313.4016  rxn003589
ts_402  -716.4883  rxn003590
ts_403  -2349.3072  rxn003596
ts_404  -660.4843  rxn003599
ts_405  -1272.2480  rxn003610
ts_406  -456.5189  rxn003655
ts_408  -1448.0007  rxn003680
ts_409  -826.4286  rxn003688
ts_410  -1672.9958  rxn003717
ts_411  -726.8574  rxn003725
ts_412  -1741.7289  rxn003741
ts_413  -1236.9741  rxn003752
ts_414  -672.9033  rxn003753
ts_415  -520.2804  rxn003776
ts_416  -1399.0909  rxn003783
ts_417  -1921.0189  rxn003790
ts_418  -598.7708  rxn003796
ts_419  -1544.6491  rxn003797
ts_420  -1788.2125  rxn003806
ts_421  -1000.2731  rxn003819
ts_422  -1126.4081  rxn003820
ts_423  -1041.0760  rxn003824
ts_424  -636.6143  rxn003827
ts_425  -468.5147  rxn003846
ts_426  -971.8784  rxn003849
ts_427  -1411.4423  rxn003868
ts_428  -516.8201  rxn003902
ts_429  -877.5563  rxn003913
ts_430  -758.1008  rxn003914
ts_431  -432.6754  rxn003915
ts_432  -1721.3533  rxn003918
ts_433  -2141.3116  rxn003928
ts_434  -454.0801  rxn003931
ts_435  -1173.8790  rxn003948
ts_437  -1549.2120  rxn003971
ts_438  -1507.3215  rxn003974
ts_439  -707.3315  rxn003995
ts_440  -1965.7425  rxn003996
ts_441  -1607.1002  rxn004050
ts_442  -980.9424  rxn004051
ts_443  -764.6865  rxn004057
ts_444  -1190.5544  rxn004077
ts_445  -892.0898  rxn004091
ts_446  -852.5786  rxn004123
ts_447  -1721.2311  rxn004135
ts_448  -565.8509  rxn004140
ts_449  -1246.4425  rxn004144
ts_450  -266.6413  rxn004148
ts_451  -718.8540  rxn004154
ts_452  -180.3054  rxn004173
ts_453  -106.8914  rxn004198
ts_454  -583.8734  rxn004216
ts_455  -435.2526  rxn004226
ts_456  -2233.1341  rxn004229
ts_457  -671.5819  rxn004256
ts_458  -1376.0797  rxn004265
ts_459  -2700.2814  rxn004275
ts_460  -2030.9963  rxn004276
ts_461  -1382.8997  rxn004289
ts_462  -1900.4704  rxn004294
ts_463  -933.8667  rxn004298
ts_464  -1114.1392  rxn004301
ts_465  -630.7995  rxn004303
ts_466  -179.0842  rxn004311
ts_467  -831.1110  rxn004312
ts_468  -2040.0475  rxn004327
ts_469  -1008.0183  rxn004333
ts_470  -712.3421  rxn004337
ts_472  -572.5091  rxn004353
ts_473  -379.6841  rxn004358
ts_474  -576.7899  rxn004359
ts_475  -764.1272  rxn004367
ts_476  -376.4817  rxn004368
ts_477  -655.4522  rxn004373
ts_478  -692.5500  rxn004397
ts_479  -1969.8155  rxn004401
ts_480  -1273.7404  rxn004417
ts_481  -565.5484  rxn004427
ts_482  -1808.3437  rxn004434
ts_483  -1310.0964  rxn004456
ts_484  -510.6228  rxn004457
ts_485  -997.5140  rxn004464
ts_486  -423.1131  rxn004475
ts_487  -1038.3785  rxn004476
ts_488  -99.7203  rxn004481
ts_489  -255.3594  rxn004492
ts_490  -1158.0804  rxn004499
ts_491  -388.2658  rxn004500
ts_492  -624.1461  rxn004501
ts_493  -526.2713  rxn004505
ts_494  -538.6344  rxn004512
ts_495  -1387.0927  rxn004514
ts_496  -1814.1226  rxn004522
ts_497  -537.7039  rxn004542
ts_498  -1173.7741  rxn004555
ts_499  -545.8765  rxn004558
ts_500  -1917.2643  rxn004561
ts_501  -1161.1533  rxn004585
ts_502  -1958.8726  rxn004596
ts_503  -866.0567  rxn004599
ts_504  -813.8918  rxn004600
ts_505  -2338.2880  rxn004609
ts_506  -917.3648  rxn004614
ts_507  -1046.5126  rxn004618
ts_508  -1079.9772  rxn004642
ts_509  -1194.4440  rxn004666
ts_510  -383.1824  rxn004686
ts_511  -1140.6687  rxn004690
ts_512  -1176.0614  rxn004693
ts_513  -889.4232  rxn004695
ts_514  -1879.3510  rxn004731
ts_515  -662.7191  rxn004733
ts_516  -1032.1828  rxn004734
ts_517  -1361.2069  rxn004767
ts_518  -456.7858  rxn004768
ts_519  -587.0400  rxn004771
ts_520  -2006.6548  rxn004786
ts_521  -1535.3251  rxn004812
ts_523  -1119.0490  rxn004820
ts_524  -446.0631  rxn004826
ts_525  -463.4171  rxn004860
ts_526  -1796.1074  rxn004893
ts_527  -1240.2138  rxn004917
ts_528  -1272.3526  rxn004943
ts_529  -2339.5395  rxn004955
ts_530  -1010.6875  rxn004967
ts_531  -1173.1234  rxn004969
ts_532  -1172.0596  rxn004976
ts_533  -302.5988  rxn004982
ts_534  -802.0258  rxn004983
ts_535  -1094.1037  rxn005027
ts_536  -478.0728  rxn005043
ts_537  -201.7379  rxn005050
ts_538  -1160.4639  rxn005053
ts_539  -1093.9730  rxn005072
ts_540  -2031.2384  rxn005077
ts_541  -384.5392  rxn005079
ts_542  -1707.8605  rxn005083
ts_543  -984.8303  rxn005098
ts_545  -1160.1038  rxn005118
ts_546  -1236.7228  rxn005120
ts_547  -1799.1068  rxn005125
ts_548  -1048.0204  rxn005128
ts_549  -689.5662  rxn005138
ts_550  -602.6171  rxn005139
ts_551  -1372.7973  rxn005143
ts_552  -1045.1962  rxn005152
ts_553  -1066.2057  rxn005154
ts_555  -988.9622  rxn005163
ts_557  -736.0801  rxn005167
ts_558  -1474.0558  rxn005169
ts_559  -505.7501  rxn005174
ts_560  -2130.0951  rxn005183
ts_561  -519.7258  rxn005190
ts_562  -510.8356  rxn005194
ts_563  -605.2198  rxn005195
ts_564  -435.3374  rxn005214
ts_565  -315.8553  rxn005216
ts_566  -1244.3197  rxn005220
ts_567  -1461.0752  rxn005230
ts_568  -815.3724  rxn005234
ts_569  -448.8131  rxn005235
ts_570  -1957.5913  rxn005240
ts_571  -391.7539  rxn005244
ts_572  -1268.3454  rxn005250
ts_573  -1102.7840  rxn005251
ts_574  -791.4064  rxn005253
ts_575  -1060.7448  rxn005258
ts_576  -722.6693  rxn005259
ts_577  -1122.2477  rxn005261
ts_578  -2211.8503  rxn005262
ts_579  -2596.3090  rxn005267
ts_580  -1206.3569  rxn005276
ts_581  -442.4964  rxn005277
ts_582  -1598.2459  rxn005278
ts_583  -409.3384  rxn005282
ts_584  -264.1707  rxn005285
ts_585  -2033.5482  rxn005297
ts_586  -1254.8013  rxn005328
ts_587  -846.4319  rxn005329
ts_588  -541.9650  rxn005341
ts_589  -234.3470  rxn005348
ts_591  -1997.1636  rxn005362
ts_592  -1573.0579  rxn005367
ts_593  -433.3818  rxn005368
ts_594  -906.5141  rxn005387
ts_595  -1825.9418  rxn005392
ts_596  -550.7823  rxn005393
ts_597  -926.5238  rxn005404
ts_598  -479.3635  rxn005407
ts_599  -1335.7064  rxn005408
ts_600  -263.6554  rxn005410
